order,freq,single.sided.magnitude
1,0.0,4733.0
2,1.2903225806451613,499.16231810927155
3,2.5806451612903225,478.9193218567676
4,3.8709677419354835,446.071723568755
5,5.161290322580645,401.9227086472818
6,6.451612903225806,348.2313869965784
7,7.741935483870967,287.14867237689174
8,9.032258064516128,221.13693068377884
9,10.32258064516129,152.87548373096212
10,11.612903225806452,85.1551735993571
11,12.903225806451612,20.773938951154083
12,14.193548387096774,37.653616291388154
13,15.483870967741934,87.61724920861371
14,16.774193548387096,127.06095436013754
15,18.064516129032256,154.32088947420925
16,19.35483870967742,168.2454816702893
17,20.64516129032258,168.2454816702893
18,21.93548387096774,154.32088947420925
19,23.225806451612904,127.06095436013754
20,24.516129032258064,87.61724920861371
21,25.806451612903224,37.653616291388154
22,27.096774193548388,20.773938951154083
23,28.387096774193548,85.1551735993571
24,29.677419354838708,152.87548373096212
25,30.96774193548387,221.13693068377884
26,32.25806451612903,287.14867237689174
27,33.54838709677419,348.2313869965784
28,34.83870967741935,401.9227086472818
29,36.12903225806451,446.071723568755
30,37.41935483870968,478.9193218567676
