bin_order,Rectangle-Medium_crop-stencil_intersections_LCPC-data_fft-output_AllBins.csv,Rectangle-Short_crop-stencil_intersections_LCPC-data_fft-output_AllBins.csv,Rectangle-Tall_crop-stencil_intersections_LCPC-data_fft-output_AllBins.csv
1,12032.0,5632.0,20736.0
2,510.94804108817254,507.61976902339086,511.63328246596024
3,507.7964870775022,494.5540230600029,510.5336551831824
4,502.5582883794255,473.0263206457788,508.7026933571502
5,495.25496987598314,443.40500673763256,506.14301982304727
6,485.9165424694624,406.1969102291124,502.8583012885519
7,474.581379761163,362.0386719675123,498.8532430813252
8,461.29606036603855,311.685851652465,494.13358240866984
9,446.11517651117526,256.0,488.70608013903615
10,429.1011097046225,195.93391737092597,482.5785111171444
11,410.3237743963938,132.51535109249062,475.7596530265935
12,389.8603306849968,66.82941041666642,468.2592738159139
13,367.79486725003653,3.1776437161565096e-14,460.08811770607736
14,344.21805581379414,66.82941041666642,451.2578897995002
15,319.2267785516719,132.51535109249062,441.7812393126005
16,292.9237299825508,195.93391737092597,431.6717414559151
17,265.4169949749889,256.0,420.9438779877425
18,236.81960460330765,311.685851652465,409.61301646916337
19,207.24907167866564,362.0386719675123,397.69538825015576
20,176.82690786370955,406.1969102291124,385.20806521834567
21,145.67812435508858,443.40500673763256,372.16893534368967
22,113.93071818563304,473.0263206457788,358.59667705413153
23,81.71514625709013,494.5540230600029,344.51073247893453
24,49.16378926473304,,329.9312795980172
25,16.41040771668744,,314.87920333719217
26,16.410407716687423,,299.3760656507121
27,49.16378926473307,,283.4440746339761
28,81.71514625709014,,267.10605271064804
29,113.93071818563304,,250.38540393975464
30,145.6781243550886,,233.30608048959573
31,176.82690786370952,,215.89254832649425
32,207.2490716786656,,198.1697521675351
33,236.81960460330765,,180.16307974749856
34,265.4169949749889,,161.89832545117386
35,292.9237299825508,,143.40165336315232
36,319.2267785516719,,124.69955978802793
37,344.21805581379414,,105.81883529469592
38,367.7948672500366,,86.7865263391215
39,389.8603306849968,,67.6298965205516
40,410.3237743963938,,48.376387526672005
41,429.1011097046225,,29.053579823653887
42,446.1151765111753,,9.689153147401736
43,461.29606036603855,,9.689153147401736
44,474.5813797611631,,29.053579823653887
45,485.9165424694624,,48.376387526672005
46,495.25496987598314,,67.6298965205516
47,502.5582883794255,,86.7865263391215
48,507.7964870775022,,105.81883529469592
49,,,124.69955978802793
50,,,143.40165336315232
51,,,161.89832545117386
52,,,180.16307974749856
53,,,198.1697521675351
54,,,215.89254832649425
55,,,233.30608048959573
56,,,250.38540393975464
57,,,267.10605271064804
58,,,283.4440746339761
59,,,299.3760656507121
60,,,314.87920333719217
61,,,329.9312795980172
62,,,344.51073247893453
63,,,358.59667705413153
64,,,372.16893534368967
65,,,385.20806521834567
66,,,397.69538825015576
67,,,409.61301646916337
68,,,420.9438779877425
69,,,431.6717414559151
70,,,441.7812393126005
71,,,451.2578897995002
72,,,460.08811770607736
73,,,468.2592738159139
74,,,475.7596530265935
75,,,482.5785111171444
76,,,488.70608013903615
77,,,494.13358240866984
78,,,498.8532430813252
79,,,502.8583012885519
80,,,506.14301982304727
81,,,508.7026933571502
82,,,510.5336551831824
