order,freq,single.sided.magnitude
1,0.0,12032.0
2,0.8163265306122448,510.94804108817254
3,1.6326530612244896,507.7964870775022
4,2.4489795918367343,502.5582883794255
5,3.265306122448979,495.25496987598314
6,4.081632653061225,485.9165424694624
7,4.897959183673469,474.581379761163
8,5.7142857142857135,461.29606036603855
9,6.530612244897958,446.11517651117526
10,7.346938775510203,429.1011097046225
11,8.16326530612245,410.3237743963938
12,8.979591836734693,389.86033068499677
13,9.795918367346937,367.79486725003653
14,10.612244897959183,344.21805581379414
15,11.428571428571427,319.2267785516719
16,12.244897959183673,292.9237299825508
17,13.061224489795917,265.4169949749889
18,13.877551020408163,236.81960460330765
19,14.693877551020407,207.24907167866564
20,15.510204081632653,176.82690786370955
21,16.3265306122449,145.67812435508858
22,17.142857142857142,113.93071818563303
23,17.959183673469386,81.71514625709013
24,18.77551020408163,49.16378926473304
25,19.591836734693874,16.41040771668744
26,20.408163265306122,16.410407716687423
27,21.224489795918366,49.16378926473307
28,22.04081632653061,81.71514625709014
29,22.857142857142854,113.93071818563303
30,23.6734693877551,145.6781243550886
31,24.489795918367346,176.82690786370952
32,25.30612244897959,207.24907167866562
33,26.122448979591834,236.81960460330765
34,26.93877551020408,265.4169949749889
35,27.755102040816325,292.9237299825508
36,28.57142857142857,319.2267785516719
37,29.387755102040813,344.21805581379414
38,30.204081632653057,367.7948672500366
39,31.020408163265305,389.8603306849968
40,31.83673469387755,410.3237743963938
41,32.6530612244898,429.1011097046225
42,33.46938775510204,446.1151765111753
43,34.285714285714285,461.29606036603855
44,35.10204081632653,474.5813797611631
45,35.91836734693877,485.9165424694624
46,36.73469387755102,495.25496987598314
47,37.55102040816326,502.5582883794255
48,38.367346938775505,507.7964870775022
