order,freq,single.sided.magnitude
1,0.0,8113.0
2,0.7843137254901962,503.468394417132
3,1.5686274509803924,495.9105778487763
4,2.3529411764705883,483.4370740372921
5,3.1372549019607847,466.2305019208925
6,3.9215686274509807,444.5432020885542
7,4.705882352941177,418.6939296858707
8,5.490196078431373,389.06363202477525
9,6.274509803921569,356.0903375390591
10,7.058823529411765,320.2631931218695
11,7.843137254901961,282.1156993815499
12,8.627450980392158,242.21820800223844
13,9.411764705882353,201.16976251718492
14,10.19607843137255,159.5893854101768
15,10.980392156862745,118.10695171276048
16,11.764705882352942,77.3539178294049
17,12.549019607843139,37.955298913676955
18,13.333333333333334,1.0000000000000207
19,14.11764705882353,34.4302812476547
20,14.901960784313726,66.27001684074571
21,15.686274509803923,94.54821368288383
22,16.47058823529412,118.82250218918541
23,17.254901960784316,138.7139589139009
24,18.03921568627451,153.91167752213013
25,18.823529411764707,164.17777734449658
26,19.607843137254903,169.35139020918197
27,20.3921568627451,169.35139020918191
28,21.176470588235297,164.17777734449658
29,21.96078431372549,153.91167752213016
30,22.745098039215687,138.71395891390088
31,23.529411764705884,118.82250218918541
32,24.31372549019608,94.54821368288384
33,25.098039215686278,66.2700168407457
34,25.88235294117647,34.4302812476547
35,26.666666666666668,1.0000000000000004
36,27.450980392156865,37.95529891367696
37,28.23529411764706,77.3539178294049
38,29.01960784313726,118.10695171276048
39,29.80392156862745,159.5893854101768
40,30.58823529411765,201.16976251718492
41,31.372549019607845,242.21820800223844
42,32.15686274509804,282.11569938154986
43,32.94117647058824,320.2631931218695
44,33.72549019607843,356.0903375390591
45,34.50980392156863,389.06363202477525
46,35.294117647058826,418.6939296858707
47,36.07843137254902,444.54320208855427
48,36.86274509803922,466.2305019208925
49,37.64705882352941,483.4370740372921
50,38.43137254901961,495.9105778487763
