order,freq,single.sided.magnitude
1,0.0,5632.0
2,1.6666666666666667,507.61976902339086
3,3.3333333333333335,494.5540230600029
4,5.0,473.0263206457788
5,6.666666666666667,443.40500673763256
6,8.333333333333334,406.1969102291124
7,10.0,362.03867196751236
8,11.666666666666668,311.685851652465
9,13.333333333333334,256.0
10,15.0,195.93391737092597
11,16.666666666666668,132.51535109249062
12,18.333333333333336,66.82941041666642
13,20.0,3.1776437161565096e-14
14,21.666666666666668,66.82941041666642
15,23.333333333333336,132.51535109249062
16,25.0,195.93391737092597
17,26.666666666666668,256.0
18,28.333333333333336,311.685851652465
19,30.0,362.0386719675123
20,31.666666666666668,406.1969102291124
21,33.333333333333336,443.40500673763256
22,35.0,473.0263206457788
23,36.66666666666667,494.5540230600029
