order,freq,single.sided.magnitude
1,0.0,15366.0
2,0.7272727272727273,416.4412504650261
3,1.4545454545454546,519.8830864412906
4,2.1818181818181817,603.3028843508209
5,2.909090909090909,635.4019238157111
6,3.6363636363636362,616.0634369019411
7,4.363636363636363,567.6960785803639
8,5.090909090909091,524.3936263628157
9,5.818181818181818,509.99526090699965
10,6.545454545454546,517.7225727405992
11,7.2727272727272725,521.8769497445982
12,8.0,504.8266044899672
13,8.727272727272727,467.8592770977749
14,9.454545454545455,426.9455965709764
15,10.181818181818182,399.2574081686308
16,10.909090909090908,387.0158637913739
17,11.636363636363637,376.3510014576018
18,12.363636363636363,353.0826511222055
19,13.090909090909092,314.6345534717923
20,13.818181818181818,270.479182509481
21,14.545454545454545,234.3866398623998
22,15.272727272727273,211.5441211891054
23,16.0,192.82660448996714
24,16.727272727272727,165.91356817162247
25,17.454545454545453,126.92269481789694
26,18.181818181818183,81.51021571356686
27,18.90909090909091,40.12295408745135
28,19.636363636363637,10.80956920815587
29,20.363636363636363,10.809569208155859
30,21.09090909090909,40.12295408745134
31,21.818181818181817,81.51021571356686
32,22.545454545454547,126.922694817897
33,23.272727272727273,165.91356817162242
34,24.0,192.8266044899671
35,24.727272727272727,211.54412118910543
36,25.454545454545453,234.3866398623998
37,26.181818181818183,270.479182509481
38,26.90909090909091,314.6345534717923
39,27.636363636363637,353.08265112220556
40,28.363636363636363,376.35100145760174
41,29.09090909090909,387.0158637913739
42,29.818181818181817,399.2574081686308
43,30.545454545454547,426.94559657097636
44,31.272727272727273,467.859277097775
45,32.0,504.8266044899671
46,32.72727272727273,521.8769497445982
47,33.45454545454545,517.7225727405993
48,34.18181818181818,509.99526090699953
49,34.90909090909091,524.3936263628157
50,35.63636363636363,567.6960785803637
51,36.36363636363637,616.0634369019411
52,37.09090909090909,635.4019238157114
53,37.81818181818182,603.3028843508209
54,38.54545454545455,519.8830864412906
