order,freq,single.sided.magnitude
1,0.0,25516.0
2,0.7272727272727273,804.805622363258
3,1.4545454545454546,876.5659249127071
4,2.1818181818181817,948.6329826807229
5,2.909090909090909,989.9189062801998
6,3.6363636363636362,988.937444025737
7,4.363636363636363,952.6379396252726
8,5.090909090909091,900.7910296556444
9,5.818181818181818,856.0185623236953
10,6.545454545454546,830.7620782629491
11,7.2727272727272725,820.0032838719256
12,8.0,807.8332264064741
13,8.727272727272727,780.7493433343446
14,9.454545454545455,735.7690684462622
15,10.181818181818182,680.5295375633922
16,10.909090909090908,627.4995809522986
17,11.636363636363637,585.1476120546644
18,12.363636363636363,551.6848847641826
19,13.090909090909092,517.3833780284447
20,13.818181818181818,473.0085822493636
21,14.545454545454545,416.21368046988067
22,15.272727272727273,352.36807129087015
23,16.0,290.85645654464446
24,16.727272727272727,238.58226990463712
25,17.454545454545453,194.26130354146213
26,18.181818181818183,149.73240910873386
27,18.90909090909091,98.04724795730456
28,19.636363636363637,41.82076443781047
29,20.363636363636363,41.82076443781045
30,21.09090909090909,98.04724795730453
31,21.818181818181817,149.73240910873386
32,22.545454545454547,194.26130354146213
33,23.272727272727273,238.58226990463714
34,24.0,290.8564565446445
35,24.727272727272727,352.3680712908701
36,25.454545454545453,416.21368046988067
37,26.181818181818183,473.00858224936366
38,26.90909090909091,517.3833780284446
39,27.636363636363637,551.6848847641827
40,28.363636363636363,585.1476120546644
41,29.09090909090909,627.4995809522986
42,29.818181818181817,680.5295375633922
43,30.545454545454547,735.7690684462622
44,31.272727272727273,780.7493433343445
45,32.0,807.833226406474
46,32.72727272727273,820.0032838719256
47,33.45454545454545,830.7620782629492
48,34.18181818181818,856.0185623236952
49,34.90909090909091,900.7910296556443
50,35.63636363636363,952.6379396252726
51,36.36363636363637,988.937444025737
52,37.09090909090909,989.9189062801998
53,37.81818181818182,948.6329826807226
54,38.54545454545455,876.5659249127071
